,student_id,school_id,composite_level,composite_score,district_id_y,ethnicity,eco,el,spec_ed
8493,9172642674,804488808,Below Benchmark,289,804488,White,YES,NO,YES
8494,9171381228,819407805,Well Below Benchmark,249,819407,White,YES,NO,YES
8495,9171635534,844407807,Below Benchmark,297,844407,White,NO,NO,NO
8496,9171172329,873401809,Well Below Benchmark,247,873401,White,NO,NO,NO
8497,9174163371,48405880,Below Benchmark,288,48405,White,YES,NO,NO
8498,9138183993,771408807,Below Benchmark,288,771408,White,YES,NO,NO
8499,9138428842,,Above Benchmark,464,3403,White,NO,NO,NO
8501,9137965177,27403808,Well Below Benchmark,261,27403,White,YES,NO,NO
8502,9137577277,20401801,Below Benchmark,284,20401,White,NO,NO,NO
8503,9133817441,848408801,At Benchmark,331,848408,White,NO,NO,NO
8504,9133632968,778487805,Above Benchmark,355,778487,White,NO,NO,NO
8505,9133113853,86401887,Well Below Benchmark,249,86401,White,YES,NO,YES
8506,9139765516,844408801,Well Below Benchmark,254,844408,White,NO,NO,NO
8507,9139596479,,Well Below Benchmark,273,770485,White,NO,NO,NO
8508,9139488377,,Well Below Benchmark,279,57408,White,YES,NO,NO
8509,9139462244,844408888,Above Benchmark,431,844408,White,NO,NO,NO
8510,9135976766,870408809,Above Benchmark,387,870408,White,NO,NO,NO
8511,9135523821,802407808,Above Benchmark,361,802407,White,YES,NO,NO
8512,9135283874,,Well Below Benchmark,243,76407,White,YES,NO,NO
8513,9135118223,820407838,Above Benchmark,384,820407,White,NO,NO,NO
8514,9135485974,820407833,Well Below Benchmark,258,820407,White,NO,NO,NO
8515,9132717397,27403808,Well Below Benchmark,243,27403,White,YES,NO,YES
8516,9132618667,,Below Benchmark,285,770485,White,NO,NO,NO
8517,9131735346,708480809,Well Below Benchmark,279,708480,White,YES,NO,NO
8518,9131724374,820407877,At Benchmark,318,820407,White,NO,NO,NO
8519,9134818585,801102841,Well Below Benchmark,260,801102,White,YES,NO,NO
